
timestamp, person_id, image_path, dresscode, bear, posture, card, status
2025-12-06 15:06:58,person_1765013814,captured_images\detection_person_1765013814_20251206_150658.jpg,formal,no_beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
2025-12-06 15:07:03,person_1765013814,captured_images\detection_person_1765013814_20251206_150703.jpg,formal,no_beard,nottuckin,notwearing,Consistent (Similarity: 0.75)
2025-12-06 15:07:09,person_1765013824,captured_images\detection_person_1765013824_20251206_150709.jpg,formal,beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
2025-12-16 19:59:17,person_1765895353,captured_images\detection_person_1765895353_20251216_195917.jpg,informal,no_beard,tuckin,notwearing,Consistent (Similarity: 1.00)
2025-12-16 19:59:22,person_1765895353,captured_images\detection_person_1765895353_20251216_195922.jpg,informal,no_beard,tuckin,notwearing,Consistent (Similarity: 1.00)
2025-12-16 19:59:27,person_1765895367,captured_images\detection_person_1765895367_20251216_195927.jpg,formal,no_beard,tuckin,idcardwearing,Stabilizing (2/8)
2025-12-16 19:59:32,person_1765895368,captured_images\detection_person_1765895368_20251216_195932.jpg,formal,no_beard,tuckin,notwearing,Consistent (Similarity: 0.75)
2025-12-16 19:59:37,person_1765895374,captured_images\detection_person_1765895374_20251216_195937.jpg,formal,no_beard,tuckin,idcardwearing,Consistent (Similarity: 1.00)
2025-12-16 19:59:42,person_1765895379,captured_images\detection_person_1765895379_20251216_195942.jpg,formal,no_beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
2025-12-16 19:59:48,person_1765895379,captured_images\detection_person_1765895379_20251216_195948.jpg,formal,no_beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
2025-12-17 11:12:02,person_1765950119,captured_images\detection_person_1765950119_20251217_111202.jpg,formal,beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
2025-12-17 11:12:07,person_1765950126,captured_images\detection_person_1765950126_20251217_111207.jpg,formal,no_beard,nottuckin,notwearing,Stabilizing (4/8)
2025-12-17 11:12:13,person_1765950129,captured_images\detection_person_1765950129_20251217_111213.jpg,informal,beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
2025-12-17 11:12:18,person_1765950136,captured_images\detection_person_1765950136_20251217_111218.jpg,formal,beard,nottuckin,notwearing,Stabilizing (5/8)
2025-12-17 11:12:23,person_1765950143,captured_images\detection_person_1765950143_20251217_111223.jpg,informal,beard,nottuckin,notwearing,New Person Detected (Similarity: 0.50)
2025-12-17 11:12:28,person_1765950144,captured_images\detection_person_1765950144_20251217_111228.jpg,informal,no_beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
2025-12-17 11:12:33,person_1765950151,captured_images\detection_person_1765950151_20251217_111233.jpg,formal,beard,nottuckin,notwearing,Stabilizing (6/8)
2025-12-17 11:12:39,person_1765950155,captured_images\detection_person_1765950155_20251217_111239.jpg,formal,no_beard,nottuckin,notwearing,Consistent (Similarity: 0.75)
2026-06-10 19:13:49,person_1781099029,captured_images\detection_person_1781099029_20260610_191349.jpg,informal,no_beard,tuckin,notwearing,New Person Detected (Similarity: 0.50)
2026-06-10 19:13:54,person_1781099029,captured_images\detection_person_1781099029_20260610_191354.jpg,informal,no_beard,tuckin,notwearing,Stabilizing (3/8)
2026-06-10 19:14:00,person_1781099040,captured_images\detection_person_1781099040_20260610_191400.jpg,formal,no_beard,tuckin,notwearing,New Person Detected (Similarity: 0.50)
2026-06-10 19:14:05,person_1781099040,captured_images\detection_person_1781099040_20260610_191405.jpg,formal,no_beard,tuckin,notwearing,Stabilizing (7/8)
2026-06-10 19:14:10,person_1781099040,captured_images\detection_person_1781099040_20260610_191410.jpg,formal,no_beard,tuckin,notwearing,Consistent (Similarity: 0.75)
2026-06-10 19:14:16,person_1781099040,captured_images\detection_person_1781099040_20260610_191416.jpg,formal,no_beard,tuckin,notwearing,Consistent (Similarity: 1.00)
2026-06-10 19:14:22,person_1781099040,captured_images\detection_person_1781099040_20260610_191422.jpg,formal,no_beard,tuckin,notwearing,Consistent (Similarity: 1.00)
2026-06-10 19:14:28,person_1781099040,captured_images\detection_person_1781099040_20260610_191428.jpg,formal,no_beard,tuckin,notwearing,Consistent (Similarity: 1.00)
2026-06-10 19:14:34,person_1781099040,captured_images\detection_person_1781099040_20260610_191434.jpg,formal,no_beard,tuckin,notwearing,Consistent (Similarity: 1.00)
2026-06-10 19:14:39,person_1781099040,captured_images\detection_person_1781099040_20260610_191439.jpg,formal,no_beard,tuckin,notwearing,Consistent (Similarity: 1.00)
